Entity,Code,Lower chamber female legislators (aggregate: average),World regions according to OWID
Afghanistan,AFG,,Asia
Africa,,24.8875,
Aland Islands,ALA,,Europe
Albania,ALB,35.71,Europe
Algeria,DZA,7.86,Africa
American Samoa,ASM,,Oceania
Andorra,AND,,Europe
Angola,AGO,33.64,Africa
Anguilla,AIA,,North America
Antigua and Barbuda,ATG,,North America
Argentina,ARG,43.19,South America
Armenia,ARM,35.51,Asia
Aruba,ABW,,North America
Asia,,19.701778,
Australia,AUS,38.41,Oceania
Austria,AUT,40.98,Europe
Austria-Hungary,OWID_AUH,,Europe
Azerbaijan,AZE,18.64,Asia
Bahamas,BHS,,North America
Bahrain,BHR,20,Asia
Bangladesh,BGD,20.86,Asia
Barbados,BRB,26.67,North America
Belarus,BLR,40,Europe
Belgium,BEL,42.67,Europe
Belize,BLZ,,North America
Benin,BEN,26.61,Africa
Bermuda,BMU,,North America
Bhutan,BTN,17.39,Asia
Bolivia,BOL,46.15,South America
Bonaire Sint Eustatius and Saba,BES,,North America
Bosnia and Herzegovina,BIH,19.05,Europe
Botswana,BWA,11.1,Africa
Brazil,BRA,17.54,South America
British Indian Ocean Territory,IOT,,Asia
British Virgin Islands,VGB,,North America
Brunei,BRN,,Asia
Bulgaria,BGR,24.17,Europe
Burkina Faso,BFA,16.9,Africa
Burundi,BDI,38.21,Africa
Cambodia,KHM,13.6,Asia
Cameroon,CMR,33.89,Africa
Canada,CAN,30.65,North America
Cape Verde,CPV,41.67,Africa
Cayman Islands,CYM,,North America
Central African Republic,CAF,12.86,Africa
Chad,TCD,25.89,Africa
Chile,CHL,35.48,South America
China,CHN,26.54,Asia
Christmas Island,CXR,,Asia
Cocos Islands,CCK,,Asia
Colombia,COL,28.88,South America
Comoros,COM,16.67,Africa
Congo,COG,14.57,Africa
Cook Islands,COK,,Oceania
Costa Rica,CRI,47.37,North America
Cote d'Ivoire,CIV,13.73,Africa
Croatia,HRV,31.79,Europe
Cuba,CUB,55.74,North America
Curacao,CUW,,North America
Cyprus,CYP,14.29,Europe
Czechia,CZE,26,Europe
Czechoslovakia,OWID_CZS,,Europe
Democratic Republic of Congo,COD,12.8,Africa
Democratic Republic of Vietnam,,,Asia
Denmark,DNK,43.58,Europe
Djibouti,DJI,26.15,Africa
Dominica,DMA,,North America
Dominican Republic,DOM,27.89,North America
Duchy of Modena and Reggio,,,Europe
Duchy of Parma and Piacenza,,,Europe
East Germany,OWID_GDR,,Europe
East Timor,TLS,36.92,Asia
Ecuador,ECU,43.07,South America
Egypt,EGY,27.7,Africa
